above_threshold,ari,case_name,changepoints,duplicate_rate,duplicate_rate_conditional_on_hit,event_recall,experiment,f1,fn,fp,label_accuracy,localization_error,max_abs_error,max_score,mean_abs_error,mean_num_detections,mean_posterior_entropy,meta_ablation,meta_distance_type,meta_hazard,meta_horizon,meta_metric,meta_placeholder,meta_use_global,meta_use_prototypes,meta_variant,meta_window,method,nmi,num_detected,param_centered,param_d,param_delta,param_delta_rho,param_demeaned,param_epsilon,param_garch_noise,param_magnitude,param_mean_shift,param_mode_separation,param_n_after,param_n_before,param_n_changepoints,param_n_factors,param_n_per_segment,param_noise_level,param_nu,param_persistent,param_regime_duration,param_rho1,param_seed,param_serial_dependence,param_shift_family,param_shock_length,param_shock_type,param_signal_strength,param_similarity,param_sparsity,param_volatility_ratio,param_window_length,precision,recall,resource_name,resource_source,resource_url,threshold,tp,unavailable
1.0,,persistent_regime_shift,182;319;386,,,,A6,0.0,1.0,3.0,,nan,nan,0.0040322580645161315,nan,,,,,0.004032258064516129,,,,,,,,bocpd_gaussian,,3.0,,,,,,,,medium,,,250,250,,,,,,True,,,0,,,0,volatility,,,,,,0.0,0.0,Bayesian Online Change Point Detection,"Adams and MacKay, Bayesian Online Changepoint Detection, arXiv:0710.3742; dtolpin/bocd",https://arxiv.org/abs/0710.3742,0.004032258064516131,0.0,0.0
1.0,,persistent_regime_shift,402,,,,A6,0.0,1.0,1.0,,nan,nan,29.56680846600801,nan,,,,,,,,,,,,,cusum_mean,,1.0,,,,,,,,medium,,,250,250,,,,,,True,,,0,,,0,volatility,,,,,,0.0,0.0,CUSUM mean alarm,Classic cumulative-sum sequential monitoring,https://en.wikipedia.org/wiki/CUSUM,24.781105425285723,0.0,0.0
1.0,,persistent_regime_shift,253;428,,,,A6,0.6666666666666666,0.0,1.0,,3.0,3.0,40.74358545050623,3.0,,,,,,,,,,,,,ewma_vol,,2.0,,,,,,,,medium,,,250,250,,,,,,True,,,0,,,0,volatility,,,,,,0.5,1.0,EWMA volatility alarm,RiskMetrics-style EWMA volatility monitoring,https://www.msci.com/research-and-insights/paper/1996-riskmetrics-technical-document,14.097808263067432,1.0,0.0
1.0,,persistent_regime_shift,211;250;286;339;404,,,,A6,0.33333333333333337,0.0,4.0,,0.0,0.0,1.8846813830883569,0.0,,,full,sliced,,124,sliced_wasserstein,False,True,True,proposed_full,62,proposed_full,,5.0,,,,,,,,medium,,,250,250,,,,,,True,,,0,,,0,volatility,,,,,,0.2,1.0,Proposed: local + prototypes + global refinement,docs/proposed_method.md §0,docs/proposed_method.md,0.40976257489186546,1.0,0.0
1.0,,persistent_regime_shift,211;250;286;339;371;404,,,,A6,0.2857142857142857,0.0,5.0,,0.0,0.0,1.8846813830883569,0.0,,,local_only,sliced,,124,sliced_wasserstein,False,False,False,proposed_local_only,62,proposed_local_only,,6.0,,,,,,,,medium,,,250,250,,,,,,True,,,0,,,0,volatility,,,,,,0.16666666666666666,1.0,Proposed: local alert only,docs/experiment_plan.md §2.2,docs/experiment_plan.md,0.40976257489186546,1.0,0.0
1.0,,persistent_regime_shift,211;250;286;339;371;404,,,,A6,0.2857142857142857,0.0,5.0,,0.0,0.0,1.8846813830883569,0.0,,,local_only,sliced,,124,sliced_wasserstein,False,False,False,proposed_local_persistence_proxy,62,proposed_local_persistence_proxy,,6.0,,,,,,,,medium,,,250,250,,,,,,True,,,0,,,0,volatility,,,,,,0.16666666666666666,1.0,Proposed: local + persistence proxy,docs/experiment_plan.md §2.2,docs/experiment_plan.md,0.40976257489186546,1.0,0.0
1.0,,persistent_regime_shift,263;427,,,,A6,0.6666666666666666,0.0,1.0,,13.0,13.0,1.4775567479250387,13.0,,,,,,,,,,,,,coordinate_w2_matched_filter,,2.0,,,,,,,,medium,,,250,250,,,,,,True,,,1,,,0,volatility,,,,,,0.5,1.0,Coordinate-wise W2 + matched filter,"Cheng et al., arXiv:1911.01325",https://arxiv.org/abs/1911.01325,0.2658469655183531,1.0,0.0
1.0,,persistent_regime_shift,267,,,,A6,1.0,0.0,0.0,,17.0,17.0,0.21145151654684521,17.0,,,,,,,,,,,,,mmd,,1.0,,,,,,,,medium,,,250,250,,,,,,True,,,1,,,0,volatility,,,,,,1.0,1.0,MMD window scan,"Gretton et al., A Kernel Two-Sample Test, JMLR 2012",https://www.jmlr.org/papers/v13/gretton12a.html,0.08551891193928685,1.0,0.0
nan,,persistent_regime_shift,255,,,,A6,1.0,0.0,0.0,,5.0,5.0,0.0,5.0,,,,,,,,,,,,,pelt_rbf,,1.0,,,,,,,,medium,,,250,250,,,,,,True,,,1,,,0,volatility,,,,,,1.0,1.0,PELT-RBF,ruptures documentation,https://centre-borelli.github.io/ruptures-docs/,nan,1.0,0.0
1.0,,persistent_regime_shift,267;332;394,,,,A6,0.5,0.0,2.0,,17.0,17.0,0.0040322580645161315,17.0,,,,,0.004032258064516129,,,,,,,,bocpd_gaussian,,3.0,,,,,,,,medium,,,250,250,,,,,,True,,,1,,,0,volatility,,,,,,0.3333333333333333,1.0,Bayesian Online Change Point Detection,"Adams and MacKay, Bayesian Online Changepoint Detection, arXiv:0710.3742; dtolpin/bocd",https://arxiv.org/abs/0710.3742,0.004032258064516131,1.0,0.0
